Töltőberendezés üzemeltető törzsszáma;Töltőberendezés üzemeltető neve;Töltőberendezés irányítószáma;Töltőberendezés település kódja;Töltőberendezés település megnevezése;Töltőberendezés közterülete;Töltőberendezés GPSKoordiN;Töltőberendezés GPSKoordiE;Töltőberendezés által felvehető maximális teljesítmény [kW];Csatlakozási pontok száma összesen;Berendezés üzembehelyezésének dátuma;Berendezés leszerelésének dátuma;Type2 csatlakozó teljesítménye [kW, per darab];Egyéb AC csatlakozó teljesítménye [kW, per darab];CCS2 csatlakozó teljesítménye [kW, per darab];Chademo csatlakozó teljesítménye [kW, per darab];Egyéb DC csatlakozó teljesítménye [kW, per darab];Type2 csatlakozó darabszáma [db];Egyéb AC csatlakozó darabszáma [db];CCS2 csatlakozó darabszáma [db];Chademo csatlakozó darabszáma [db];Egyéb DC csatlakozó darabszáma [db];Csatlakozó darabszám: Slow AC: P <7.4 kW [db];Csatlakozó darabszám: Medium-speed AC: 7.4 kW ≤ P ≤ 22 kW  [db];Csatlakozó darabszám: Fast AC: P > 22 kW  [db];Csatlakozó darabszám: Slow DC: P < 50 kW  [db];Csatlakozó darabszám: Fast DC: 50 kW ≤ P < 150 kW  [db];Csatlakozó darabszám: Level 1- Ultra fast DC: 150 kW ≤ P < 350 kW  [db];Csatlakozó darabszám: Level 2- Ultra fast DC: P ≥ 350 kW  [db];address;lat;long;helyzet_ellenorzes
13615776;Baldauf Invest Kft.;1028;13578;Budapest;Hidegkúti út ;47,5637973;18,9620575;22;2;2019.05.20;9999.12.31;44;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;1028 Budapest, Hidegkúti út;47,5637973;18,9620575;Megfelelő
24312343;West End Magyarország Zrt.;1062;13578;Budapest;Váci út 1-3;47,512965;19,059706;22;1;2025.11.11;9999.12.31;22;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1062 Budapest, Váci út 1-3;47,512965;19,059706;Megfelelő
24312343;West End Magyarország Zrt.;1062;13578;Budapest;Váci út 1-3;47,512965;19,059706;22;1;2025.11.11;9999.12.31;22;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1062 Budapest, Váci út 1-3;47,512965;19,059706;Megfelelő
24312343;West End Magyarország Zrt.;1062;13578;Budapest;Váci út 1-3;47,512965;19,059706;80;2;2025.11.27;9999.12.31;0;0;160;0;0;0;0;2;0;0;0;0;0;0;2;0;0;1062 Budapest, Váci út 1-3;47,512965;19,059706;Megfelelő
24312343;West End Magyarország Zrt.;1062;13578;Budapest;Váci út 1-3;47,514013;19,0605;44;2;2019.12.18;2025.11.10;88;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;1062 Budapest, Váci út 1-3;47,514013;19,0605;Megfelelő
24312343;West End Magyarország Zrt.;1062;13578;Budapest;Váci út 1-3;47,514013;19,0605;44;2;2017.04.02;2025.11.10;88;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;1062 Budapest, Váci út 1-3;47,514013;19,0605;Megfelelő
24312343;West End Magyarország Zrt.;1062;13578;Budapest;Váci út 1-3;47,512965;19,059706;44;2;2025.11.11;9999.12.31;88;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;1062 Budapest, Váci út 1-3;47,512965;19,059706;Megfelelő
24312343;West End Magyarország Zrt.;1062;13578;Budapest;Váci út 1-3;47,513152;19,060112;44;2;2019.12.18;2025.11.10;88;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;1062 Budapest, Váci út 1-3;47,513152;19,060112;Megfelelő
24312343;West End Magyarország Zrt.;1062;13578;Budapest;Váci út 1-3;47,513152;19,060112;22;1;2020.03.06;2025.11.10;22;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1062 Budapest, Váci út 1-3;47,513152;19,060112;Megfelelő
24312343;West End Magyarország Zrt.;1062;13578;Budapest;Váci út 1-3;47,514013;19,0605;44;2;2017.04.02;2025.11.10;88;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;1062 Budapest, Váci út 1-3;47,514013;19,0605;Megfelelő
